"sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","timestamp","sampling_rate","id","sensor__pin","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__id","location__id","location__altitude","location__longitude","location__country","location__latitude"
"humidity","99.90","5073707085","2018-11-27 15:20:27","null","2384893634","7","9","DHT22","various","13121","6626","265.7","6.1980","LU","49.5420"
"temperature","5.80","5073707084","","","","","","","","","","","","",""
"P1","19.93","5073708252","2018-11-27 15:20:32","null","2384894194","1","14","SDS011","Nova Fitness","12008","6063","175.8","6.3620","LU","49.5860"
"P2","11.77","5073708255","","","","","","","","","","","","",""
"humidity","99.90","5073708441","2018-11-27 15:20:32","null","2384894281","7","9","DHT22","various","12009","6063","175.8","6.3620","LU","49.5860"
"temperature","5.40","5073708440","","","","","","","","","","","","",""
"P1","23.97","5073711065","2018-11-27 15:20:43","null","2384895514","1","14","SDS011","Nova Fitness","12725","6427","244.1","6.1060","LU","49.7540"
"P2","13.23","5073711066","","","","","","","","","","","","",""
"humidity","79.60","5073711146","2018-11-27 15:20:43","null","2384895550","7","9","DHT22","various","12726","6427","244.1","6.1060","LU","49.7540"
"temperature","7.90","5073711145","","","","","","","","","","","","",""
"P1","0.00","5073711701","2018-11-27 15:20:47","null","2384895814","1","14","SDS011","Nova Fitness","13281","6709","225.2","6.1160","LU","49.7560"
"P2","0.00","5073711702","","","","","","","","","","","","",""
"humidity","56.30","5073711760","2018-11-27 15:20:48","null","2384895843","7","9","DHT22","various","13282","6709","225.2","6.1160","LU","49.7560"
"temperature","17.40","5073711759","","","","","","","","","","","","",""
"P1","26.17","5073713024","2018-11-27 15:20:57","null","2384896440","1","14","SDS011","Nova Fitness","12886","6511","229.9","6.0940","LU","49.7460"
"P2","15.93","5073713025","","","","","","","","","","","","",""
"humidity","99.90","5073713077","2018-11-27 15:20:58","null","2384896466","7","9","DHT22","various","12887","6511","229.9","6.0940","LU","49.7460"
"temperature","5.90","5073713076","","","","","","","","","","","","",""
